"usa_biocons","usa_bioprod","china_biocons","china_bioprod","germany_biocons","germany_bioprod","japan_biocons","japan_bioprod","india_biocons","india_bioprod","uk_biocons","uk_bioprod","france_biocons","france_bioprod","brazil_biocons","brazil_bioprod","italy_biocons","italy_bioprod","canada_biocons","canada_bioprod"
980185,2398810,2695332,2748096,3410,110378,101867,174558,4281064,4520321,15285,20907,404728,412147,1437475,2135065,30273,28599,413042,453425
1130112,2459318,2675688,2730832,118732,134560,101181,175196,4355827,4599261,15662,22307,468753,476821,1410929,2257081,36037,33267,412161,453529
1384457,2748282,2632375,2689102,110971,136992,97645,171464,4393524,4641187,24098,33424,453910,463107,1413131,2258216,42621,40232,410381,456677
1016991,2415635,2534458,2592458,111782,137973,91236,163145,4467724,4719599,23324,35584,437194,445853,1401491,2239328,39896,38234,409497,460117
1022212,2457655,2429341,2489436,112670,139654,90068,165336,4566166,4822278,33280,48152,393472,402849,1469955,2364729,47990,45116,462804,522959
1233701,2553047,2364289,2458186,112543,139371,92202,171837,4608407,4869031,35193,51895,401405,411559,1427812,2368286,47734,41897,480672,541006
1185131,2606313,2338793,2414498,113826,142954,92344,172246,4724661,4990468,35982,54418,434172,444120,1422317,2478873,45746,41042,451513,516685
1140607,2534908,2391201,2402958,171090,195380,99230,182719,4797945,5068955,36348,57574,396745,406386,1436579,2625211,50921,45315,443701,515004
1286511,2605065,2472108,2404068,183420,210612,93412,174369,4851313,5126553,31863,56399,396146,405960,1474349,2257647,53392,47449,465511,540103
1944084,2511560,2525072,2373083,182821,411316,103537,186024,4914640,5194095,25142,57984,376388,386088,1545202,2263689,95540,91435,483726,567246
1980411,2551268,2578863,2342968,200277,453553,114994,195984,4978888,5263954,25654,63653,363077,372889,1458692,2092859,100853,92403,426219,509016
1719225,2289794,2626297,2306733,215884,489915,108423,185508,5047877,5342929,19667,64478,368091,378005,1507618,2202557,102629,92977,381766,469006
1546793,2261187,2745070,2893533,230998,534768,121914,196983,5066378,5371402,20137,69930,347567,359674,1635130,2399202,136194,128261,411261,502399
1812682,2465591,2821172,2984958,305300,370131,126977,205236,5113489,5437612,20918,77834,368340,383383,1748867,2676386,191209,189327,421495,512549
1969155,2623779,2870814,3043909,340609,424982,141825,222955,5195526,5555604,21356,82066,372118,387436,1870250,2805291,138429,149405,473916,567044
2159554,2762492,2892063,3053058,387950,475853,156955,264784,5270411,5643160,21798,103171,379908,417124,1921826,2937378,202350,216467,458410,540497
2357847,2802272,2941219,3119233,485024,600145,165226,273185,5380949,5780275,28144,111975,344926,379863,2002686,3140207,232685,233846,435643,521992
2439005,2930705,3066320,3288589,531210,693109,188063,299999,5478777,5914775,37793,123094,368238,408905,2151653,3509780,304311,311347,456771,532639
2622184,3144067,3127075,3329358,554550,754823,171122,277513,5556458,5996373,62448,126092,419208,469515,2264861,3238897,376506,394265,425118,491528
2593940,3107186,3136488,3364633,528989,759821,161751,258305,5593146,6086696,76314,130797,440501,493244,2238046,3101544,383643,381098,406631,486028
2761020,3402060,3166249,3383608,629618,891059,180603,285233,5708788,6273366,87239,143893,477032,550122,2377849,3376494,367307,348533,388257,477029
2891350,3534919,3216276,3456176,584743,878678,176944,278232,5744004,6358864,90978,154786,411393,471371,2321988,3255430,260988,271265,400359,478065
2802703,3442466,3326491,3597434,635594,978493,171502,274835,5853136,6475386,87225,167875,467284,535439,2316882,3333301,346619,367569,397035,475466
3082422,3673486,3441321,3764555,632523,982785,182118,294870,6034267,6669593,92899,185425,499630,573604,2355014,3464637,342642,409220,434469,513291
3133545,3850448,3456681,3821407,568013,951802,173277,287327,6154249,6823101,111221,198346,444346,512325,2375859,3528712,299451,380419,453254,523210
3029560,3705550,3302891,3763835,566353,965693,174366,292632,6323324,6963985,103524,226635,466434,552853,2492251,3673943,336903,412304,422467,499634
3065651,3666045,3283475,3786594,555654,951269,177259,263899,6442197,7256093,109814,247062,492417,578112,2456352,3658033,322471,410071,403536,523322
3040029,3692296,3367730,3931701,566357,961403,185152,294712,6619020,7605467,114776,277687,487186,563093,2514672,3763143,347786,440651,437136,539147
3307871,4023659,3405324,3975963,582929,979924,189802,304669,6831532,7792530,139757,293398,485319,576283,2548882,3997365,334958,411723,436138,546869
3392609,4023175,3353747,3920717,586706,1001278,186849,327551,6887110,7855213,158656,269917,488932,575005,2640754,3891109,336542,429520,422122,540624
3099775,3701303,3317136,3886193,597172,987678,173656,301198,7059970,8044598,162412,279349,449126,549428,2762083,4046108,327178,431681,379015,496611
3314215,3910839,3314097,3883855,628649,1041927,182603,343108,7240286,8242547,159454,295931,496150,587624,2865882,4154920,358784,458311,397503,512740
3405058,4059718,3303115,3874324,650001,1075983,182819,361698,7413514,8414350,170059,311471,501354,600624,3004693,4302195,362486,450047,387327,506666
